visit_id,custom_visit_type_id,country,vendor_id,visit_date,vendor_account_id,bdr_id,bees_account_id,visit_status,visit_type,visit_priority,visit_objective,visit_justification,delivery_center_id,is_checkin_gps_compliant,is_checkout_gps_compliant,is_justification_gps_compliant,justification_latitude,justification_longitude,justification_datetime,is_visit_gps_compliant,visit_start_datetime,visit_end_datetime,visit_duration,checkin_latitude,checkin_longitude,checkout_latitude,checkout_longitude,updatedAt,checkin_checkout_distance_diff,cancelled_by,visit_classification,route_finish_justification,visit_min_duration,visit_max_duration,extract_date,loadAt
00000766-AR047551010004-2025-05-26,4004177581429760531,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,2025-05-26,04755100000766,AR047551010004,null,CLOSED,PLANNED,0,null,null,04755101,true,true,null,null,null,null,true,2025-05-26T14:11:45.607Z,2025-05-26T14:15:06.607Z,3.35,-33.0280367,-63.5089479,-33.0280214,-63.5089775,2025-05-26T14:15:09.973Z,3.241792479085754,null,"VISITED, GPS OK",null,2,20,2025-06-01,2025-06-01T02:19:22.731672Z
00000766-AR047551010004-2025-01-27,4004177581429760531,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,2025-01-27,04755100000766,AR047551010004,null,CLOSED,PLANNED,0,null,null,04755101,true,true,null,null,null,null,true,2025-01-27T13:37:31.457Z,2025-01-27T13:51:02.457Z,13.516666666666667,-33.0281113,-63.5081962,-33.0282706,-63.5088943,2025-01-27T13:51:05.153Z,67.44872532883403,null,"VISITED, GPS OK",null,null,null,2025-06-01,2025-06-01T02:19:22.731672Z
00000766-AR047551010004-2025-05-19,4004177581429760531,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,2025-05-19,04755100000766,AR047551010004,null,CLOSED,PLANNED,0,null,null,04755101,true,true,null,null,null,null,true,2025-05-19T13:37:46.265Z,2025-05-19T13:55:56.265Z,18.166666666666668,-33.0280733,-63.5086567,-33.0283364,-63.5088905,2025-05-19T13:56:00.15Z,36.48229940733052,null,"VISITED, GPS OK",null,2,20,2025-06-01,2025-06-01T02:19:22.731672Z
00000766-AR047551010004-2025-04-21,4004177581429760531,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,2025-04-21,04755100000766,AR047551010004,null,CLOSED,PLANNED,0,null,null,04755101,true,true,null,null,null,null,true,2025-04-21T13:36:57.279Z,2025-04-21T13:51:52.279Z,14.916666666666666,-33.0280328,-63.5084264,-33.0280312,-63.5084299,2025-04-21T13:51:54.187Z,0.37164426165185993,null,"VISITED, GPS OK",null,2,20,2025-06-01,2025-06-01T02:19:22.731672Z
00000766-AR047551010004-2024-09-03,4004177581429760531,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,2024-09-03,04755100000766,AR047551010004,04755100000766,CLOSED,PLANNED,0,null,null,04755101,true,true,null,null,null,null,true,2024-09-03T15:00:38.111Z,2024-09-03T15:06:15.347Z,5.616666666666666,-33.028055,-63.508855,-33.02808,-63.5088333,2024-09-03T15:06:17.817Z,3.4380654460610156,null,"VISITED, GPS OK",null,null,null,2025-06-01,2025-06-01T02:19:22.731672Z
00000766-AR047551010004-2025-03-31,4004177581429760531,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,2025-03-31,04755100000766,AR047551010004,null,CLOSED,PLANNED,0,null,null,04755101,true,true,null,null,null,null,true,2025-03-31T14:02:29.415Z,2025-03-31T14:12:43.415Z,10.233333333333333,-33.0280831,-63.5084717,-33.0284711,-63.5088769,2025-03-31T14:12:47.526Z,57.344104004661375,null,"VISITED, GPS OK",null,2,20,2025-06-01,2025-06-01T02:19:22.731672Z
00000766-AR047551010004-2024-07-30,4004177581429760531,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,2024-07-30,04755100000766,AR047551010004,04755100000766,CLOSED,PLANNED,0,null,null,04755101,true,true,null,null,null,null,true,2024-07-30T13:57:48.079Z,2024-07-30T14:13:33.168Z,15.75,-33.02804,-63.5086667,-33.028237,-63.5090221,2024-07-30T14:13:35.707Z,39.71924699528427,null,"VISITED, GPS OK",null,null,null,2025-06-01,2025-06-01T02:19:22.731672Z
00000766-AR047551010004-2024-12-16,4004177581429760531,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,2024-12-16,04755100000766,AR047551010004,04755100000766,CLOSED,PLANNED,0,null,null,04755101,true,true,null,null,null,null,true,2024-12-16T13:40:11.648Z,2024-12-16T14:01:47.648Z,21.6,-33.0280574,-63.5085985,-33.02833,-63.50893,2024-12-16T14:01:50.68Z,43.28847133026988,null,"VISITED, GPS OK",null,null,null,2025-06-01,2025-06-01T02:19:22.731672Z
00000766-AR047551010004-2024-11-05,4004177581429760531,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,2024-11-05,04755100000766,AR047551010004,04755100000766,CLOSED,PLANNED,0,null,null,04755101,true,true,null,null,null,null,true,2024-11-05T13:27:11.356Z,2024-11-05T13:55:12.404Z,28.016666666666666,-33.0280267,-63.5088117,-33.0280595,-63.5088153,2024-11-05T13:55:15.734Z,3.662607716804021,null,"VISITED, GPS OK",null,null,null,2025-06-01,2025-06-01T02:19:22.731672Z
00000766-AR047551010004-2025-04-28,4004177581429760531,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,2025-04-28,04755100000766,AR047551010004,null,CLOSED,PLANNED,0,null,null,04755101,true,true,null,null,null,null,true,2025-04-28T14:09:24.595Z,2025-04-28T14:24:02.595Z,14.633333333333333,-33.0280535,-63.5086285,-33.0282942,-63.508902,2025-04-28T14:24:05.041Z,36.96570247809477,null,"VISITED, GPS OK",null,2,20,2025-06-01,2025-06-01T02:19:22.731672Z
00000766-AR047551010004-2025-02-24,4004177581429760531,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,2025-02-24,04755100000766,AR047551010004,null,CLOSED,PLANNED,0,null,null,04755101,true,true,null,null,null,null,true,2025-02-24T13:57:28.967Z,2025-02-24T14:14:53.967Z,17.416666666666668,-33.0280619,-63.508792,-33.0283331,-63.5089782,2025-02-24T14:14:56.875Z,34.79534428334825,null,"VISITED, GPS OK",null,null,null,2025-06-01,2025-06-01T02:19:22.731672Z
00000766-AR047551010004-2025-03-05,4004177581429760531,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,2025-03-05,04755100000766,AR047551010004,null,CLOSED,PLANNED,0,null,null,04755101,true,true,null,null,null,null,true,2025-03-05T14:09:57.293Z,2025-03-05T14:24:15.293Z,14.3,-33.0281133,-63.508615,-33.0283121,-63.5089952,2025-03-05T14:24:17.884Z,41.77291895582192,null,"VISITED, GPS OK",null,null,null,2025-06-01,2025-06-01T02:19:22.731672Z
